SITE_NAME,Lat,Lon,Veast,Vnorth,Vup,sigEast,sigNorth,sigUp
ALTH,36.8896068252,239.3302371402,-0.00931,0.01036,-0.04385,0.0011300000000000001,0.00039,0.00765
ALTH,36.8896068102,239.33023721,-0.00931,0.01036,-0.04385,0.0011300000000000001,0.00039,0.00765
BKR1,35.1323885818,240.8905197216,-0.01356,0.01318,-0.0368,0.0008300000000000001,0.0011300000000000001,0.008440000000000001
BKR1,35.132388467800006,240.890519562,-0.01356,0.01318,-0.0368,0.0008300000000000001,0.0011300000000000001,0.008440000000000001
BVPP,35.1572774514,240.6524908554,-0.01736,0.0151,-0.00045999999999999996,0.00035,0.00018999999999999998,0.00134
BVPP,35.157277437800005,240.6524908504,-0.01736,0.0151,-0.00045999999999999996,0.00035,0.00018999999999999998,0.00134
CAND,35.9393546154,239.566300882,-0.01322,0.01895,0.00045999999999999996,0.00026000000000000003,0.00021,0.00064
CAND,35.939354610100004,239.56630094029998,-0.01322,0.01895,0.00045999999999999996,0.00026000000000000003,0.00021,0.00064
CAND,35.9393545311,239.56630087509998,-0.01322,0.01895,0.00045999999999999996,0.00026000000000000003,0.00021,0.00064
CAND,35.9393535413,239.56630182540002,-0.01322,0.01895,0.00045999999999999996,0.00026000000000000003,0.00021,0.00064
CAND,35.9393535648,239.5663017882,-0.01322,0.01895,0.00045999999999999996,0.00026000000000000003,0.00021,0.00064
CARH,35.8883861065,239.5691762986,-0.02129,0.02615,-0.00033,0.00016,0.00028,0.0005200000000000001
CARH,35.888386075300005,239.56917615470002,-0.02129,0.02615,-0.00033,0.00016999999999999999,0.00028,0.0005200000000000001
CARH,35.888386829699996,239.5691754172,-0.02129,0.02615,-0.00033,0.00016999999999999999,0.00028,0.0005200000000000001
CARH,35.8883868259,239.56917547740002,-0.02129,0.02615,-0.00033,0.00016,0.00028,0.0005200000000000001
CRBT,35.7916146037,239.2492431125,-0.02537,0.03349,-0.00061,0.00016,0.00013000000000000002,0.00078
CRBT,35.7916140393,239.24924260790002,-0.02537,0.03349,-0.00061,0.00016,0.00014,0.00078
CRBT,35.7916141156,239.2492423982,-0.02537,0.03349,-0.00061,0.00016,0.00014,0.00078
CRBT,35.7916141041,239.2492423889,-0.02537,0.03349,-0.00061,0.00016,0.00013000000000000002,0.00078
CRGG,35.2420922073,240.2751766202,-0.01917,0.01904,0.00033,0.00025,0.00025,0.00117
CRGG,35.242092211199996,240.2751766222,-0.01917,0.01904,0.00033,0.00025,0.00025,0.00117
GDEC,35.1894171973,240.1363161813,-0.02354,0.02532,-0.00045999999999999996,0.00016999999999999999,0.00018999999999999998,0.00107
GDEC,35.189417212399995,240.1363161809,-0.02354,0.02532,-0.00045999999999999996,0.00016999999999999999,0.00018999999999999998,0.00107
GDEC,35.189417192600004,240.1363162173,-0.02354,0.02532,-0.00045999999999999996,0.00016999999999999999,0.00018999999999999998,0.00107
GDEC,35.1894172375,240.1363162527,-0.02354,0.02532,-0.00045999999999999996,0.00016999999999999999,0.00018999999999999998,0.00107
GDEC,35.1894172357,240.13631625099998,-0.02354,0.02532,-0.00045999999999999996,0.00016999999999999999,0.00018999999999999998,0.00107
GR8R,36.3990160521,239.5842676934,-0.00901,0.011470000000000001,0.0008699999999999999,0.00057,0.00047000000000000004,0.00084
GR8R,36.3990160688,239.5842677114,-0.00901,0.011470000000000001,0.0008699999999999999,0.00057,0.00047000000000000004,0.00084
GR8V,36.3990092263,239.584226223,-0.00874,0.00968,0.00091,0.00119,0.00118,0.00128
GR8V,36.3990091799,239.5842261638,-0.00874,0.00968,0.00091,0.00119,0.00118,0.00128
HOGS,35.8667168474,239.52050124439998,-0.02252,0.028960000000000003,0.00106,0.00016999999999999999,0.00016999999999999999,0.00085
HOGS,35.866716783600005,239.5205011031,-0.02252,0.028960000000000003,0.00106,0.00016999999999999999,0.00016999999999999999,0.00085
HOGS,35.8667176421,239.5205002791,-0.02252,0.028960000000000003,0.00106,0.00016999999999999999,0.00016999999999999999,0.00085
HOGS,35.866717641,239.52050030799998,-0.02252,0.028960000000000003,0.00106,0.00016999999999999999,0.00016999999999999999,0.00085
HUNT,35.8808141401,239.597613967,-0.01550,0.020569999999999998,0.00037,0.00016999999999999999,0.00011999999999999999,0.0008
HUNT,35.880814065500005,239.5976139015,-0.01550,0.020569999999999998,0.00037,0.00016999999999999999,0.00011999999999999999,0.0008
HUNT,35.880813035900005,239.59761517119998,-0.01550,0.020569999999999998,0.00037,0.00016999999999999999,0.00011999999999999999,0.0008
HUNT,35.8808130409,239.597615149,-0.01550,0.020569999999999998,0.00037,0.00016999999999999999,0.00011999999999999999,0.0008
LAND,35.8997925412,239.5267140304,-0.02163,0.02833,0.00059,0.00014,0.00016999999999999999,0.0006900000000000001
LAND,35.8997926052,239.5267139609,-0.02163,0.02833,0.00059,0.00014,0.00016999999999999999,0.0006900000000000001
LAND,35.8997925342,239.5267138179,-0.02163,0.02833,0.00059,0.00014,0.00016999999999999999,0.0006900000000000001
LAND,35.8997935472,239.5267126818,-0.02163,0.02833,0.00059,0.00014,0.00016999999999999999,0.0006900000000000001
LAND,35.8997935363,239.52671269150002,-0.02163,0.02833,0.00059,0.00014,0.00016999999999999999,0.0006900000000000001
LOWS,35.828712359099995,239.40571253919998,-0.02471,0.03247,-0.0010400000000000001,0.00021,0.00016999999999999999,0.00078
LOWS,35.828712152,239.4057122926,-0.02471,0.03247,-0.0010400000000000001,0.00021,0.00016999999999999999,0.00078
LOWS,35.828712395100005,239.40571191490002,-0.02471,0.03247,-0.0010400000000000001,0.00021,0.00016999999999999999,0.00078
LOWS,35.8287123739,239.4057119325,-0.02471,0.03247,-0.0010400000000000001,0.00021,0.00016,0.00078
MASW,35.8325990604,239.55693798619998,-0.02208,0.02852,0.00086,0.00016,0.00011999999999999999,0.00078
MASW,35.832598996,239.5569378496,-0.02208,0.02852,0.00086,0.00016,0.00011999999999999999,0.00078
MASW,35.8325998985,239.556937188,-0.02208,0.02852,0.00086,0.00016,0.00011999999999999999,0.00078
MASW,35.8325998734,239.5569371889,-0.02208,0.02852,0.00086,0.00016,0.00011999999999999999,0.00078
MEE1,36.1869045531,239.2413964966,-0.00989,0.0122,0.00297,0.00022,0.00029,0.0007700000000000001
MEE1,36.1869044445,239.2413964542,-0.00989,0.0122,0.00297,0.00022,0.00029,0.0007700000000000001
MEE1,36.1869044006,239.24139640369998,-0.00989,0.0122,0.00297,0.00022,0.00029,0.0007700000000000001
MEE1,36.186904416,239.24139639669997,-0.00989,0.0122,0.00297,0.00022,0.00029,0.0007700000000000001
MEE1,36.186904352199996,239.2413963475,-0.00989,0.0122,0.00297,0.00022,0.00029,0.0007700000000000001
MEE2,36.1805268114,239.2331505209,-0.02767,0.03265,0.0021100000000000003,0.00021,0.0002,0.00073
MEE2,36.1805267011,239.2331505232,-0.02767,0.03265,0.0021100000000000003,0.00021,0.0002,0.00073
